name,numpeps,orthints,ogap,maxneg,minpos,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
4H_1or2N_0_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P00_bc-47.00_nc-42.00-hetero-ex.00.00.aA.fasta,20,18,0.028787377,1.17839194,1.207179317,4H1636-AA,4H2883-AA,4H906-AA,4H2949-AA,4H605-AA,4H1153-AA,4H1867-AA,4H2165-AA,4H794-AA,4H2466-AA,4H3343-AA,4H2754-AA,4H1135-AA,4H3112-AA,4H2151-AA,4H1352-AA,4H717-AA,4H2354-AA,4H2277-AA,4H566-AA,,,,,,,,
4H_1or2N_0_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P00_bc-47.00_nc-42.00-hetero-ex.01.00.aA.fasta,21,19,0.0220113690000001,1.207248806,1.229260175,4H605-AA,4H1324-AA,4H1153-AA,4H2466-AA,4H335-AA,4H566-AA,4H2949-AA,4H1867-AA,4H794-AA,4H717-AA,4H2754-AA,4H2354-AA,4H1636-AA,4H906-AA,4H780-AA,4H2165-AA,4H3343-AA,4H1135-AA,4H1352-AA,4H3112-AA,4H2277-AA,,,,,,,
4H_1or2N_0_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P00_bc-49.00_nc-43.00-hetero-ex.00.00.aA.fasta,14,8,0.0655402200000001,1.968959234,2.034499454,4H121-AA,4H1985-AA,4H2646-AA,4H3940-AA,4H1710-AA,4H2873-AA,4H2985-AA,4H2758-AA,4H2187-AA,4H2512-AA,4H1068-AA,4H3625-AA,4H1350-AA,4H233-AA,,,,,,,,,,,,,,
4H_1or2N_0_DNA-ALL-basicL-rep-nter_core-Ridge-WbnRD10_P00_bc-47.00_nc-40.80-all.05.aA.fasta,20,16,0.200209247,1.110344547,1.310553794,4H175-AA,4H56-AA,4H1930-AA,4H1615-AA,4H452-AA,4H2343-AA,4H2165-AA,4H2330-AA,4H2466-AA,4H1650-AA,4H1828-AA,4H2732-AA,4H3073-AA,4H3438-AA,4H2931-AA,4H1821-AA,4H1765-AA,4H3015-AA,4H2774-AA,4H2253-AA,,,,,,,,
4H_1or2N_0_DNA-ALL-basicL-rep-nter_core-Ridge-WbnRD10_P00_bc-49.00_nc-40.80-all.00.aA.fasta,18,9,0.0735596570000001,2.026301643,2.0998613,4H3020-AA,4H1136-AA,4H2750-AA,4H486-AA,4H3782-AA,4H465-AA,4H1110-AA,4H3705-AA,4H535-AA,4H355-AA,4H3651-AA,4H2600-AA,4H140-AA,4H895-AA,4H2898-AA,4H1257-AA,4H58-AA,4H2721-AA,,,,,,,,,,
4H_1or2N_5_DNA-ALL-basic-rep-Ridge-WbnRD10_P07_bc-49.00_nc-41.20-all.00.aA.fasta,24,12,0.117084965,1.901431771,2.018516736,4H1449-AA,4H2961-AA,4H249-AA,4H3777-AA,4H2903-AA,4H1349-AA,4H1384-AA,4H3974-AA,4H1593-AA,4H2760-AA,4H1878-AA,4H432-AA,4H1040-AA,4H446-AA,4H3049-AA,4H3629-AA,4H63-AA,4H2774-AA,4H3619-AA,4H235-AA,4H133-AA,4H3915-AA,4H2947-AA,4H1262-AA,,,,
4H_1or2N_5_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P07_bc-48.00_nc-42.00-hetero-ex.00.00.aA.fasta,28,22,0.010619226,1.582262544,1.59288177,4H536-AA,4H3165-AA,4H3590-AA,4H2274-AA,4H930-AA,4H3016-AA,4H909-AA,4H310-AA,4H94-AA,4H3120-AA,4H797-AA,4H1478-AA,4H891-AA,4H2438-AA,4H1842-AA,4H3410-AA,4H1597-AA,4H629-AA,4H3395-AA,4H1626-AA,4H2725-AA,4H3697-AA,4H1142-AA,4H171-AA,4H2330-AA,4H2698-AA,4H2162-AA,4H2253-AA
4H_1or2N_5_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P07_bc-49.00_nc-42.00-hetero-ex.00.00.aA.fasta,18,10,0.032526289,1.914371708,1.946897997,4H369-AA,4H1198-AA,4H2211-AA,4H662-AA,4H4033-AA,4H1017-AA,4H3664-AA,4H2536-AA,4H3605-AA,4H3922-AA,4H1405-AA,4H3625-AA,4H2238-AA,4H1350-AA,4H2935-AA,4H55-AA,4H1082-AA,4H1103-AA,,,,,,,,,,
4H_1or2N_5_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P07_bc-49.00_nc-42.00-hetero-ex.00.01.aA.fasta,18,10,0.032526289,1.914371708,1.946897997,4H369-AA,4H1198-AA,4H2211-AA,4H662-AA,4H4033-AA,4H1017-AA,4H3664-AA,4H2536-AA,4H3605-AA,4H3922-AA,4H1405-AA,4H3625-AA,4H2238-AA,4H1350-AA,4H2935-AA,4H55-AA,4H1082-AA,4H1103-AA,,,,,,,,,,
4H_1or2N_bcipa_B07_T1_bc-76.00_nc-46.00-hetero.00.aA.fasta,27,14,0.0613407159999999,1.887197502,1.948538218,4H3666-AA,4H1391-AA,4H1854-AA,4H3628-AA,4H3920-AA,4H428-AA,4H2742-AA,4H3709-AA,4H971-AA,4H656-AA,4H3029-AA,4H675-AA,4H2713-AA,4H1348-AA,4H1035-AA,4H3591-AA,4H189-AA,4H1064-AA,4H3939-AA,4H478-AA,4H2248-AA,4H1000-AA,4H3121-AA,4H1146-AA,4H2948-AA,4H1109-AA,4H497-AA,
