ID1,ID2,score_bc7,RD_Tm,score,Tm,norm_sd_RD,cv_RD
O1-bA,O1-bA,-1.049162483,32.11733661,27.43049301,32.11733661,0.965545322,0.787354509
O1-bA,O10-bA,33.12940083,35.47734067,47.48018855,35.47734067,0.967972824,0.666963258
O1-bA,O11-bA,-8.878462483,26.5312988,13.89783996,26.5312988,0.665037904,0.717581802
O1-bA,O12-bA,50.20300083,29.25188443,39.87197942,29.25188443,0.416313837,0.39193072
O1-bA,O13-bA,25.30010083,38.26308832,41.05855713,38.26308832,1.151121149,0.689770183
O1-bA,O14-bA,26.59603752,28.36718033,26.9333055,28.36718033,0.550217404,0.541484277
O1-bA,O15-bA,26.59603752,32.18695036,26.2439153,32.18695036,0.29876299,0.242777659
O1-bA,O16-bA,22.55780083,31.06129832,40.36916693,31.06129832,0.718992761,0.618181179
O1-bA,O2-bA,71.34620083,53.81705704,53.40463247,53.81705704,3.761677204,1.033477949
O1-bA,O3-bA,16.02443752,26.06591894,19.82228388,26.06591894,0.53530897,0.591238175
O1-bA,O4-bA,14.72850083,25.17148495,33.94753551,25.17148495,0.445853706,0.515021369
O1-bA,O5-bA,26.59603752,23.55050529,26.9333055,23.55050529,0.605161256,0.75822538
O1-bA,O6-bA,22.55780083,31.72052686,41.05855713,31.72052686,0.669636011,0.557027165
O1-bA,O7-bA,25.30010083,35.77370287,40.36916693,35.77370287,0.514863834,0.349525046
O1-bA,O8-bA,26.59603752,25.15388169,26.2439153,25.15388169,0.473756859,0.547736475
O1-bA,O9-bA,37.16763752,25.87897388,33.35493692,25.87897388,0.493008463,0.549645608
O10-bA,O10-bA,2.153464138,37.96075693,33.55119572,37.96075693,0.936621788,0.56981049
O10-bA,O11-bA,25.30010083,40.69970372,33.94753551,40.69970372,1.333732789,0.707291872
O10-bA,O12-bA,7.947964138,27.88496319,25.94298659,27.88496319,0.408430773,0.411784048
O10-bA,O13-bA,18.51956414,41.7122454,33.05400822,41.7122454,0.873402803,0.440248502
O10-bA,O14-bA,22.55780083,25.84073002,41.05855713,25.84073002,0.379645134,0.424071344
O10-bA,O15-bA,22.55780083,31.49496345,40.36916693,31.49496345,0.872984365,0.734438334
O10-bA,O16-bA,18.51956414,40.00907577,32.36461801,40.00907577,0.977741231,0.536773576
O10-bA,O2-bA,29.09116414,53.51436657,39.47563963,53.51436657,2.593960195,0.723558443
O10-bA,O3-bA,50.20300083,30.45786319,39.87197942,30.45786319,0.912481327,0.808637945
O10-bA,O4-bA,2.153464138,38.13979123,20.01854267,38.13979123,1.78232616,1.074620619
O10-bA,O5-bA,25.30010083,35.13792832,41.05855713,35.13792832,0.842346044,0.590363456
O10-bA,O6-bA,18.51956414,33.76661742,33.05400822,33.76661742,0.640390066,0.480763727
O10-bA,O7-bA,18.51956414,37.17796643,32.36461801,37.17796643,0.962463597,0.608968113
O10-bA,O8-bA,22.55780083,36.79903315,40.36916693,36.79903315,0.723541858,0.466578357
O10-bA,O9-bA,71.34620083,56.13489346,53.40463247,56.13489346,2.715743098,0.664264524
O11-bA,O11-bA,-1.049162483,28.88143999,25.67425242,28.88143999,0.554529406,0.531837428
O11-bA,O12-bA,71.34620083,72.40551989,51.64839187,72.40551989,9.213769605,0.996831862
O11-bA,O13-bA,22.55780083,31.07095198,40.36916693,31.07095198,0.707005461,0.607580512
O11-bA,O14-bA,26.59603752,27.84049414,26.2439153,27.84049414,0.521579338,0.527035277
O11-bA,O15-bA,26.59603752,27.84352552,25.17706491,27.84352552,0.425734212,0.430122197
O11-bA,O16-bA,22.55780083,31.41444344,39.30231654,31.41444344,0.545781468,0.461021156
O11-bA,O2-bA,50.20300083,31.21571083,39.87197942,31.21571083,0.612055952,0.52218007
O11-bA,O3-bA,37.16763752,31.33358574,31.59869633,31.33358574,0.677649038,0.574734738
O11-bA,O4-bA,33.12940083,56.3239348,45.72394796,56.3239348,2.866559864,0.694540069
O11-bA,O5-bA,26.59603752,29.94461143,26.2439153,29.94461143,0.603270657,0.548551742
O11-bA,O6-bA,22.55780083,27.60023274,40.36916693,27.60023274,0.531309499,0.543373194
