ID1	ID2	score
O1	O1	0.058849437
O1	O10	0.103059581
O1	O11	0.064354839
O1	O12	0.0625
O1	O13	0.071831709
O1	O14	0.056047198
O1	O15	0.057142857
O1	O16	0.064516129
O1	O2	2.47971746
O1	O3	0.056693493
O1	O4	0.060509554
O1	O5	0.060345949
O1	O6	0.052631579
O1	O7	0.066225166
O1	O8	0.058930384
O1	O9	0.07587961
O10	O1	0.740962959
O10	O10	0.066445183
O10	O11	0.093213186
O10	O12	0.058461538
O10	O13	0.061162652
O10	O14	0.074639402
O10	O15	0.068181818
O10	O16	0.091258113
O10	O2	0.154821979
O10	O3	0.080952381
O10	O4	0.076923077
O10	O5	0.286857143
O10	O6	0.064
O10	O7	0.070098576
O10	O8	0.084067254
O10	O9	3.920112343
O11	O1	0.060606061
O11	O10	0.054095827
O11	O11	0.059097978
O11	O12	1.952380952
O11	O13	0.055625879
O11	O14	0.053112834
O11	O15	0.056254599
O11	O16	0.061871949
O11	O2	0.050676254
O11	O3	0.067925332
O11	O4	1.795977011
O11	O5	0.063063063
O11	O6	0.058951965
O11	O7	0.062494132
O11	O8	0.057471264
O11	O9	0.06122449
O12	O1	0.063241107
O12	O10	0.052405618
O12	O11	3.019824969
O12	O12	0.05272977
O12	O13	0.061333333
O12	O14	0.09707218
O12	O15	0.058608845
O12	O16	0.062645519
O12	O2	0.056778679
O12	O3	1.294993577
O12	O4	0.086678508
O12	O5	0.068592058
O12	O6	0.055147059
O12	O7	0.059018174
O12	O8	0.087859425
O12	O9	0.064197531
O13	O1	0.069585578
O13	O10	0.05660458
O13	O11	0.059225513
O13	O12	0.053972364
O13	O13	0.051570576
O13	O14	2.325238474
O13	O15	0.381355932
O13	O16	0.051189911
O13	O2	0.048935698
O13	O3	0.056673715
O13	O4	0.055555556
O13	O5	0.092105263
O13	O6	0.146944876
O13	O7	0.053316327
O13	O8	0.130231566
O13	O9	0.054726368
O14	O1	0.067798774
O14	O10	0.06122449
O14	O11	0.071232877
O14	O12	0.119779715
O14	O13	3.458496947
O14	O14	0.07518626
O14	O15	0.058432147
O14	O16	2.5984375
O14	O2	0.076086957
O14	O3	0.090909091
O14	O4	0.073535549
O14	O5	1.364059314
O14	O6	0.793142857
O14	O7	0.494325347
O14	O8	0.063292026
O14	O9	0.077738516
O15	O1	0.065035273
O15	O10	0.05
O15	O11	0.060402685
O15	O12	0.058558559
O15	O13	0.651049209
O15	O14	0.055319149
O15	O15	0.064516129
O15	O16	3.819851461
O15	O2	0.049409524
O15	O3	0.0625
O15	O4	0.070559004
O15	O5	0.117739274
O15	O6	0.055555556
O15	O7	0.153858997
O15	O8	0.07384132
O15	O9	0.066326531
O16	O1	0.066352201
O16	O10	0.061763074
O16	O11	0.068181818
O16	O12	0.057142857
O16	O13	0.055555556
O16	O14	1.392860921
O16	O15	1.839392994
O16	O16	0.059398616
O16	O2	0.057142857
O16	O3	0.065346535
O16	O4	0.053521681
